occurrence_id	taxon_id	sex	life stage	locality
C56343	T15813		http://eol.org/schema/terms/yearling	
C56303	T23696		http://eol.org/schema/terms/2yearsOld	
C56344	T15813		http://eol.org/schema/terms/2yearsOld	
C56304	T23696		http://eol.org/schema/terms/3yearsOld	
C56345	T15813		http://eol.org/schema/terms/3yearsOld	
C58519	T11928		http://eol.org/schema/terms/age0	
C58522	T33449		http://eol.org/schema/terms/age0	
C58520	T11928		http://eol.org/schema/terms/age1	
C58523	T33449		http://eol.org/schema/terms/age1	
C31171	T22761		http://eol.org/schema/terms/age1	
C56338	T22761		http://eol.org/schema/terms/age2	
C56339	T22761		http://eol.org/schema/terms/age3	
C56340	T22761		http://eol.org/schema/terms/age4	
C56341	T22761		http://eol.org/schema/terms/age5	
C56342	T22761		http://eol.org/schema/terms/age6	
C56278	T13683	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/freelivingAdult	
C56261	T17194	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/freelivingAdult	
C56318	T21324	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/freelivingAdult	
C56269	T24224	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/freelivingAdult	
C56300	T29674	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/freelivingAdult	
C56284	T10483	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56279	T13683	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56263	T14785	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56313	T14787	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56285	T17107	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56262	T17194	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56286	T17366	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56287	T17368	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56317	T21324	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56295	T24213	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56274	T24215	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56296	T24217	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56293	T24218	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56266	T24220	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56301	T24221	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56271	T24222	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56268	T24224	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56273	T24225	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56267	T24226	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56294	T24227	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56288	T24234	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56289	T29651	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56290	T29655	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56299	T29674	http://purl.obolibrary.org/obo/PATO_0000384	http://eol.org/schema/terms/parasiticAdult	
C56280	T13683		http://purl.obolibrary.org/obo/PATO_0001185	
C56283	T14870		http://purl.obolibrary.org/obo/PATO_0001185	
C58509	T21324		http://purl.obolibrary.org/obo/PATO_0001185	
C56270	T24224		http://purl.obolibrary.org/obo/PATO_0001185	
C59331	T25268		http://purl.obolibrary.org/obo/PATO_0001185	
C56298	T25269		http://purl.obolibrary.org/obo/PATO_0001185	
C56276	T25271		http://purl.obolibrary.org/obo/PATO_0001185	
C39356	T27562	http://purl.obolibrary.org/obo/PATO_0000383	http://purl.obolibrary.org/obo/PATO_0001185	
C59333	T27562	http://purl.obolibrary.org/obo/PATO_0000384	http://purl.obolibrary.org/obo/PATO_0001185	
C58495	T15043		http://purl.obolibrary.org/obo/PATO_0001190	
C58494	T15043		http://purl.obolibrary.org/obo/PATO_0001190	
C58525	T23522		http://purl.obolibrary.org/obo/PATO_0001190	
C58515	T33471		http://purl.obolibrary.org/obo/PATO_0001190	
C58516	T33472		http://purl.obolibrary.org/obo/PATO_0001190	
C51264	T34936		http://purl.obolibrary.org/obo/PATO_0001190	
C59285	T10000		http://www.ebi.ac.uk/efo/EFO_0001272	
C59286	T10001		http://www.ebi.ac.uk/efo/EFO_0001272	
C59287	T10010		http://www.ebi.ac.uk/efo/EFO_0001272	
C59288	T10010		http://www.ebi.ac.uk/efo/EFO_0001272	
C10028	T10016	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57176	T10016		http://www.ebi.ac.uk/efo/EFO_0001272	
C10029	T10017	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56920	T10017		http://www.ebi.ac.uk/efo/EFO_0001272	
C59289	T10017		http://www.ebi.ac.uk/efo/EFO_0001272	
C10054	T10031	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10055	T10031		http://www.ebi.ac.uk/efo/EFO_0001272	
C54947	T10031	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C56310	T10031	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56554	T10031		http://www.ebi.ac.uk/efo/EFO_0001272	
C59291	T10031		http://www.ebi.ac.uk/efo/EFO_0001272	
C10077	T10042	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55198	T10042	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10097	T10054	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55527	T10054	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10141	T10082	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57318	T10082		http://www.ebi.ac.uk/efo/EFO_0001272	
C10152	T10089	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10171	T10099	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10187	T10107	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10188	T10107		http://www.ebi.ac.uk/efo/EFO_0001272	
C57965	T10107		http://www.ebi.ac.uk/efo/EFO_0001272	
C10197	T10113	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56418	T10113		http://www.ebi.ac.uk/efo/EFO_0001272	
C10204	T10117	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55789	T10117	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10206	T10118	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56173	T10118	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10208	T10119	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10209	T10119		http://www.ebi.ac.uk/efo/EFO_0001272	
C10213	T10122	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56900	T10122		http://www.ebi.ac.uk/efo/EFO_0001272	
C10215	T10123	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56857	T10123		http://www.ebi.ac.uk/efo/EFO_0001272	
C10217	T10124	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10219	T10125	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56881	T10125		http://www.ebi.ac.uk/efo/EFO_0001272	
C10222	T10127	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57280	T10127		http://www.ebi.ac.uk/efo/EFO_0001272	
C10229	T10132	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57436	T10132		http://www.ebi.ac.uk/efo/EFO_0001272	
C10230	T10133	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57386	T10133		http://www.ebi.ac.uk/efo/EFO_0001272	
C10232	T10134	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55478	T10134	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10248	T10145	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56751	T10145		http://www.ebi.ac.uk/efo/EFO_0001272	
C10277	T10160	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10283	T10163	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10285	T10164	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57506	T10164		http://www.ebi.ac.uk/efo/EFO_0001272	
C10290	T10167	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10296	T10170	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56711	T10170		http://www.ebi.ac.uk/efo/EFO_0001272	
C10311	T10178	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10315	T10180	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10396	T10225	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10398	T10226	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10409	T10235	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10435	T10253	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56599	T10253		http://www.ebi.ac.uk/efo/EFO_0001272	
C10456	T10270	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55082	T10270	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10471	T10281	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57192	T10281		http://www.ebi.ac.uk/efo/EFO_0001272	
C10486	T10289	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10488	T10290	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55619	T10290	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10492	T10294	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55943	T10294	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10528	T10318	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10531	T10320	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10559	T10343	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10565	T10347	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56231	T10347	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10586	T10360	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C54993	T10360	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10594	T10365	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55203	T10365	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10647	T10397	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57385	T10397		http://www.ebi.ac.uk/efo/EFO_0001272	
C10681	T10421	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10713	T10439	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55449	T10439	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10714	T10440	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55605	T10440	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10762	T10477	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57772	T10477		http://www.ebi.ac.uk/efo/EFO_0001272	
C10768	T10481	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57591	T10481		http://www.ebi.ac.uk/efo/EFO_0001272	
C10771	T10483	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55036	T10483	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10777	T10487	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10779	T10487		http://www.ebi.ac.uk/efo/EFO_0001272	
C10782	T10489	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C59168	T10489		http://www.ebi.ac.uk/efo/EFO_0001272	
C10792	T10496	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55902	T10496	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10800	T10503	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57675	T10503		http://www.ebi.ac.uk/efo/EFO_0001272	
C10806	T10508	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55226	T10508	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10815	T10516	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10821	T10522	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10828	T10529	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10833	T10534	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57195	T10534		http://www.ebi.ac.uk/efo/EFO_0001272	
C10840	T10540	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56453	T10540		http://www.ebi.ac.uk/efo/EFO_0001272	
C10853	T10547	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C58884	T10547		http://www.ebi.ac.uk/efo/EFO_0001272	
C10854	T10548	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10856	T10548	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57918	T10548		http://www.ebi.ac.uk/efo/EFO_0001272	
C58771	T10548		http://www.ebi.ac.uk/efo/EFO_0001272	
C10857	T10549	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57921	T10549		http://www.ebi.ac.uk/efo/EFO_0001272	
C10866	T10556	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56527	T10556		http://www.ebi.ac.uk/efo/EFO_0001272	
C10871	T10559	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C59096	T10559		http://www.ebi.ac.uk/efo/EFO_0001272	
C10878	T10563	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10880	T10563	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57601	T10563		http://www.ebi.ac.uk/efo/EFO_0001272	
C58805	T10563		http://www.ebi.ac.uk/efo/EFO_0001272	
C10888	T10567	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10902	T10574	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10905	T10576	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C10915	T10581	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56237	T10581	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C58661	T10581		http://www.ebi.ac.uk/efo/EFO_0001272	
C10917	T10582	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55909	T10582	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10923	T10587	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56433	T10587		http://www.ebi.ac.uk/efo/EFO_0001272	
C10945	T10606	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56104	T10606	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10947	T10607	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56092	T10607	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10952	T10611	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55747	T10611	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10953	T10612	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55652	T10612	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10954	T10613	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55798	T10613	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10957	T10615	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55804	T10615	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10958	T10616	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55665	T10616	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10960	T10618	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55970	T10618	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10978	T10628	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56441	T10628		http://www.ebi.ac.uk/efo/EFO_0001272	
C10982	T10630	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10983	T10631	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C10989	T10635	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C57248	T10635		http://www.ebi.ac.uk/efo/EFO_0001272	
C10993	T10637	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56777	T10637		http://www.ebi.ac.uk/efo/EFO_0001272	
C10995	T10638	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56799	T10638		http://www.ebi.ac.uk/efo/EFO_0001272	
C10998	T10640	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56155	T10640	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C11000	T10641	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56066	T10641	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C11016	T10653	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C58957	T10653		http://www.ebi.ac.uk/efo/EFO_0001272	
C11020	T10654	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56100	T10654	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C11021	T10655	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55090	T10655	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C11026	T10658	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56227	T10658	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C11028	T10659	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56105	T10659	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C11029	T10660	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56228	T10660	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C11031	T10662	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C11034	T10662		http://www.ebi.ac.uk/efo/EFO_0001272	
C56399	T10662		http://www.ebi.ac.uk/efo/EFO_0001272	
C59292	T10662		http://www.ebi.ac.uk/efo/EFO_0001272	
C11035	T10663	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56685	T10663		http://www.ebi.ac.uk/efo/EFO_0001272	
C11036	T10664	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C11040	T10666	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C55011	T10666	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	
C58732	T10666		http://www.ebi.ac.uk/efo/EFO_0001272	
C11044	T10669	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	
C56789	T10669		http://www.ebi.ac.uk/efo/EFO_0001272	
